ID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Class,Age
P001,1,1,1,0,0,1,1,1,1,1,9,14.5
P002,1,1,1,1,0,0,1,1,0,1,9,14
P003,0,1,1,0,0,1,1,1,1,1,9,13
P004,0,1,1,0,0,1,1,1,1,1,9,13
P005,0,1,1,0,0,1,1,1,1,1,9,13
P006,1,0,0,0,0,1,1,1,1,1,10,14.5
P007,1,0,0,1,0,1,1,1,1,1,10,14.5
P008,1,1,1,1,0,1,1,1,1,1,9,15
P009,0,1,1,0,0,1,1,1,0,0,10,14
P010,1,1,1,1,0,1,1,1,1,1,10,15.5
P011,1,0,1,0,0,1,1,1,1,1,10,15
P012,1,0,1,0,0,1,1,1,1,1,9,14.5
P013,1,0,1,0,0,1,1,0,1,1,9,14.5
P014,1,0,0,0,0,1,1,1,1,1,9,14
P015,1,0,0,0,0,1,1,1,0,1,9,13.5
P016,0,1,0,0,0,1,0,0,1,1,10,15
P017,1,1,0,0,1,1,1,1,1,1,10,16
P018,0,1,0,0,0,1,0,0,1,1,10,15
P019,0,0,1,0,0,1,1,1,1,1,10,15.5
P020,1,0,0,0,0,1,1,1,1,1,10,15
P021,1,0,0,0,0,0,0,0,1,1,10,16.5
P022,1,0,0,0,0,1,1,1,1,1,10,14.5
P023,0,0,1,0,0,1,1,1,1,1,10,15.5
P024,1,0,1,1,0,1,1,1,1,1,10,14.5
P025,1,1,1,1,0,1,1,1,1,1,10,15
P026,1,0,1,1,0,1,1,1,0,0,10,16.5
P027,1,1,0,1,0,1,1,1,1,1,9,14
P028,1,0,1,0,0,1,1,1,1,1,10,15.5
P029,1,1,1,0,0,1,1,1,1,1,9,13
P030,1,1,1,0,0,1,1,1,1,1,9,14.5
P031,1,1,1,0,0,1,1,1,1,1,9,14.5
P032,0,0,1,0,0,1,1,1,1,1,9,14.5
P033,0,1,1,0,0,1,1,1,1,1,9,14
P034,0,1,1,0,0,1,1,1,1,1,9,15
P035,1,0,1,0,0,1,1,1,1,1,9,13.5
P036,1,0,1,0,0,1,1,1,1,1,9,15
P037,1,1,0,1,0,1,1,1,1,1,9,15
P038,1,0,1,1,0,1,1,0,1,1,9,14
P039,1,1,1,1,0,0,1,1,1,1,10,15
P040,1,0,1,0,0,1,1,1,1,1,9,14
P041,0,1,0,0,0,1,1,1,1,1,9,14
P042,1,0,0,0,0,1,1,1,1,1,9,14
P043,1,1,0,1,0,1,1,1,1,1,9,14
P044,0,0,0,0,0,1,1,1,1,1,9,14
P045,1,0,1,1,0,1,1,1,1,1,9,14
P046,1,0,1,1,0,1,1,1,1,1,9,14
P047,1,0,0,0,0,1,0,1,1,1,9,14
P048,0,1,0,1,0,1,0,1,1,1,10,15.5
P049,1,0,0,0,0,1,1,0,1,1,10,15
P050,1,0,0,0,0,1,1,0,1,1,10,15
P051,0,0,0,0,0,1,0,1,0,1,9,13.5
P052,0,0,0,0,0,1,1,1,1,1,9,14
P053,1,0,0,1,0,1,0,0,1,1,10,15
P054,1,1,1,1,0,1,1,1,1,1,9,15
P055,1,1,0,1,0,1,1,1,1,1,10,15
P056,1,0,0,0,0,1,1,1,1,1,10,15
P057,1,1,0,0,0,1,1,1,1,1,10,15
P058,1,0,1,0,0,1,1,0,1,1,10,16
P059,1,0,0,0,0,1,1,1,0,0,10,21
P060,1,0,1,0,0,1,1,1,1,1,10,15
P061,1,1,1,1,0,1,1,1,1,1,10,14.5
P062,1,1,1,0,0,1,1,1,1,1,9,14.5
P063,1,0,0,0,0,1,0,1,1,1,9,15
P064,1,0,0,1,0,1,0,1,1,1,9,14.5
P065,1,1,1,1,0,1,1,1,1,1,10,14.5
P066,1,1,1,1,0,1,1,1,1,1,10,16
P067,1,1,0,1,0,1,0,0,1,1,9,14
P068,0,1,1,0,0,1,1,1,1,0,9,14
P069,1,0,1,0,1,1,1,1,1,1,10,15
P070,1,0,1,0,1,1,1,1,1,1,10,15
P071,1,0,1,0,0,1,1,1,0,1,10,16
P072,1,1,1,1,0,1,1,1,1,1,10,14
P073,0,0,1,0,0,1,1,0,1,0,10,15
P074,1,1,0,0,0,1,1,1,1,1,10,15.5
P075,1,1,1,1,0,1,1,1,1,1,10,15.5
P076,1,0,0,0,0,1,1,1,1,1,10,15
P077,1,0,0,0,0,1,0,1,1,1,10,15.5
P078,1,0,0,0,0,1,1,1,1,1,9,14
P079,0,0,0,1,0,1,1,1,1,0,9,14
P080,1,0,0,0,1,1,1,1,1,1,9,14.5
P081,1,1,0,0,0,1,1,1,1,1,9,14
P082,1,1,1,0,0,1,1,1,1,1,9,14.5
P083,1,0,0,0,1,1,1,1,1,1,10,15
P084,1,1,0,1,0,1,1,0,1,1,9,16
P085,1,1,0,0,0,1,1,1,1,1,10,15.5
P086,1,1,1,0,0,1,1,1,1,1,10,16
P087,0,0,1,0,0,1,0,1,1,1,10,14
P088,0,0,1,0,0,1,0,1,1,1,10,15
P089,0,1,1,0,0,1,1,1,1,1,9,14.5
P090,1,1,1,0,0,1,1,1,1,1,9,14
P091,0,0,1,0,0,1,1,0,1,1,9,14
P092,1,1,0,0,0,1,1,1,1,1,9,14.5
P093,1,0,0,0,0,1,1,1,1,1,10,14
P094,1,0,0,1,0,0,0,1,1,1,9,14.5
P095,1,0,0,0,0,0,1,1,1,1,10,14
P096,1,0,0,1,0,1,1,1,1,1,9,13.5
P097,1,1,1,1,0,1,1,1,0,1,10,15.5
P098,0,1,1,0,0,1,1,1,1,1,10,14
P099,1,1,0,0,0,1,0,1,1,1,10,15.5
P100,0,1,1,0,0,1,1,1,1,0,9,15.5
